"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1753066636540817916","Thu Feb 01 14:43:51 +0000 2024","116","RAFAEL ALUN ITU HARUS JADI PINTU MASUK. ADA DUIT 4 5 TRILIUN MENGALIR KE PULUHAN ARTIS. MODUS OPERANDINYA BEGINI: PARA ARTIS YG TERKENA KASUS PAJAK KEMUDIAN SELESAI DI TEMPAT DENGAN BEBERAPA SYARAT. BAYANGIN AJA MEREKA FOYA FOYA HIDUP MEWAH PAKAI UANG KITA. ANJING GAK TUH. https://t.co/mXyhpKhW5x","1753066636540817916","https://pbs.twimg.com/media/GFQk0LobgAADeZr.jpg","","in","","2","15","27","https://twitter.com/TheEagle_BEN/status/1753066636540817916","1244525884775653380","TheEagle_BEN"
"1752193634076913698","Tue Jan 30 04:54:51 +0000 2024","739","Katanya ata Perintah Presiden ??? Karen Agustiawan tersandung kasus korupsi. https://t.co/K92HAD9zS7","1752193634076913698","https://pbs.twimg.com/ext_tw_video_thumb/1752193556167675904/pu/img/Yee1uwVvddv91RDk.jpg","","in","Cengkareng, Indonesia","15","37","490","https://twitter.com/NenkMonica/status/1752193634076913698","1040306964100669440","NenkMonica"
"1752656881703911674","Wed Jan 31 11:35:38 +0000 2024","588","Bahaya penokohan selalu sama ketika tokoh yang dikagumi terkena kasus maka akan banyak yang berpihak justru pada pelaku bukan korban. Sedih melihat ini terjadi kembali. Jangan mengagungkan manusia.","1752656881703911674","","","in","Indonesia","9","5","201","https://twitter.com/logos_id/status/1752656881703911674","255021263","logos_id"
"1754028857198510318","Sun Feb 04 06:27:22 +0000 2024","8","This is why I don t support all women nor do I agree with the statement salahin laki-lakinya aja lah dalam kasus perselingkuhan. Some women find joy in disturbing other family s peace and some also love to see them suffering as long as they get what they want.","1754028857198510318","","","en","preparing for iisma 24 ‼️","0","1","1","https://twitter.com/rosesbykurosuke/status/1754028857198510318","3098846755","rosesbykurosuke"
"1753370095110516784","Fri Feb 02 10:49:41 +0000 2024","3836","Kami bersimpati terhadap penyintas kasus KS di UI yang melibatkan ketua BEM UI nonaktif Melki Sedek Huang sebagai pelaku sesuai keputusan SK Rektor UI pada 29-01-2024. Selain mengutuk tindakan KS tersebut kami juga kesal dengan cara media memberitakannya. Simak utas ini:","1753370095110516784","","","in","Indonesia","45","39","904","https://twitter.com/remotivi/status/1753370095110516784","172750034","remotivi"
"1751431374148657505","Sun Jan 28 02:25:54 +0000 2024","19","info joki makalah/tulisan ttg kasus penyakit pls #zonauang","1751431374148657505","","","in","Los Angeles","9","149","0","https://twitter.com/Cherimoyaaaa/status/1751431374148657505","1233412032067706882","Cherimoyaaaa"
"1752573378668720465","Wed Jan 31 07:17:51 +0000 2024","31","@Fahrihamzah @KPK_RI kasus ini gmn? https://t.co/Bt9f9J9rdk","1752592008328425978","https://pbs.twimg.com/ext_tw_video_thumb/1752591969078157313/pu/img/5zk8lWAMSuIT-aES.jpg","Fahrihamzah","in","","4","0","4","https://twitter.com/B36686Brayyy/status/1752592008328425978","1728786553613524992","B36686Brayyy"
"1754020311778169174","Sun Feb 04 05:53:25 +0000 2024","11","Yg punya kasus korupsi secepatnya merapat ke 02 biar aman https://t.co/E4swDio9fI","1754020311778169174","https://pbs.twimg.com/media/GFeILIXaMAAhwlw.jpg","","in"," IBU KOTA NUSANTARA🇮🇩","0","0","0","https://twitter.com/Yha2n3/status/1754020311778169174","1485292726837211136","Yha2n3"
"1751257871520780500","Sat Jan 27 15:46:18 +0000 2024","128","@PartaiSocmed semangat med. Gibran harus menang di pilpres nanti. Kalau kalah bisa2 kasus ini bakal diusut KPK Lu dan tim harus all out all in allnnjg biar gibran menang https://t.co/FjBSZgZzSq","1751270414708617380","","PartaiSocmed","in","","1","13","16","https://twitter.com/tommiyes/status/1751270414708617380","1345767247051071492","tommiyes"
"1752576636434976818","Wed Jan 31 06:16:46 +0000 2024","4783","Serius ngejawab ya 1. Kasus KS itu sensitif lu pada punya empati dikit ngapa proses yang dilaluin panjang banget buat sampe keadilan terutama di negara yang hukum tentang KS msh rancu dan buruk. 2. Buat apa kita tau detail kasusnya? buat bisa nentuin mana bener mana salah?","1752576636434976818","","","in","","14","9","1099","https://twitter.com/jimmwpp/status/1752576636434976818","719960954314711040","jimmwpp"
