parse_text,parse_name
"['Fantastis', 'Keluarga', 'Jokowi', 'Kuasai', 'Lembar', 'Saham', 'di', 'PT', 'Rakabu', 'Sejahtera', 'Perusahaan', 'Yang', 'Disokong', 'Luhut', 'httpstcoJPwYzRv']",['democrazymedia']
"['Kejatuhan', 'tragis', 'Index', 'Hang', 'Seng', 'bursa', 'saham', 'Hongkong', 'yg', 'notabene', 'representasi', 'saham', 'big', 'companies', 'dari', 'China', 'mainland', 'Anjlok', 'dlm', 'thn', 'Invest', 'juta', 'loss', 'juta', 'Properti', 'hancur', 'Bursa', 'saham', 'kolaps', 'Rakyat', 'lama', 'bisa', 'marah', 'sama', 'Partai', 'Komunis', 'China', 'httpstcojnCiHQV']",['StrategiBisnis']
"['profesorsaham', 'capres', 'ada', 'gasi', 'yg', 'visi', 'misinya', 'ilangin', 'boti']",['syahrungann']
"['Tahun', 'Saya', 'dilarang', 'beli', 'saham', 'BBHI', 'oleh', 'mentor', 'saham', 'Legend', 'di', 'Stockbit', 'BBHI', 'Terbang', 'X', 'Setelah', 'itu', 'Saya', 'ditentang', 'beli', 'DOGE', 'oleh', 'mentor', 'saya', 'di', 'crypto', 'DOGE', 'Terbang', 'x', 'Setelah', 'itu', 'Setiap', 'mentor', 'memiliki', 'blindspot', 'yang', 'tidak', 'disadari', 'cari', 'berbagai', 'sudut', 'pandang']",['PaceCrypto']
"['Korang', 'Family', 'mart', 'pemegang', 'saham', 'terbesar', 'dia', 'Itochu', 'Corp', 'Japan', 'Itochu', 'Corp', 'ada', 'Itochu', 'Aviation', 'yg', 'ada', 'hubungan', 'dengan', 'Elbit', 'Systems', 'Elbit', 'Systems', 'company', 'weapon', 'Israel', 'Selamat', 'jalan', 'Family', 'Mart', 'Rupanya', 'antara', 'penyumbang', 'terbesar', 'Isral']",['zaqayy']
"['CTOS', 'untung', 'RM', 'juta', 'meningkat', 'kali', 'ganda', 'dan', 'tertinggi', 'dalam', 'sejarah', 'FYI', 'CTOS', 'adalah', 'public', 'listed', 'company', 'dan', 'saham', 'boleh', 'dibeli', 'oleh', 'orang', 'awam', 'httpstcoCgdJbutzZ']",['najibfazail']
"['ingat', 'kata', 'mbah', 'org', 'saham', 'yg', 'ngatangatain', 'trading', 'crypto', 'besok', 'pasti', 'buka', 'kelas', 'crypto', 'httpstconvwayUE']",['MbahZaid']
"['profesorsaham', 'Yg', 'nguploud', 'ini', 'kayanya', 'dia', 'gapernah', 'dpt', 'dosen', 'yg', 'killer', 'bgt', 'Omongan', 'sumpah', 'serapah', 'dari', 'mulutnya', 'ngebuang', 'berkas', 'ngusir', 'dia', 'yg', 'keluar', 'Semoga', 'ini', 'org', 'yg', 'nguploud', 'kalau', 'blm', 'lulus', 'ketemu', 'dosen', 'kriteria', 'diatas', 'Jadi', 'tau', 'apa', 'yg', 'dilakukan', 'lunamaya', 'belum', 'ada', 'apapanya']",['BaygonvsHit']
"['Sahamfess', 'tidak', 'pro', 'kelas', 'menengah', 'httpstcozcwSsqxvKp']",['deeotherprsn']
"['gamau', 'lagi', 'masuk', 'shm', 'SMGA', 'emang', 'udah', 'paling', 'bener', 'saham', 'perbankan', 'saja']",['Sahamfess']
"['chris', 'lee', 'ngejual', 'semua', 'saham', 'sm', 'yang', 'dia', 'pegang', 'dengan', 'alasan', 'pribadi', 'apa', 'tandanya', 'mau', 'resign', 'bisa', 'jadi', 'iya', 'bisa', 'jadi', 'sekedar', 'transaksi', 'jual', 'biasa', 'tinggal', 'liat', 'ada', 'pembelian', 'baru', 'atau', 'ngga', 'bener', 'resign', 'ga', 'tapiii', 'httpstcoYxKnFBG', 'httpstcoabUJZwnw', 'httpstcotzUbtddky']",['termatcha']
"['offering', 'keroyokan', 'kalian', 'ikut', 'shm', 'yang', 'mana', 'httpstcoIGopRRllC']",['Sahamfess']
"['Tahu', 'tak', 'melabur', 'dalam', 'saham', 'Apple', 'Tesla', 'dan', 'Amazon', 'ni', 'seolaholah', 'seperti', 'kita', 'mintak', 'Tim', 'Cook', 'Elon', 'Musk', 'dan', 'Jeff', 'Bezos', 'sendiri', 'laburkan', 'duit', 'kita', 'What', 'Yes', 'basically', 'merekalah', 'fund', 'manager', 'kita', 'Let', 'me', 'explain', 'why', 'dan', 'bagaimana', 'kita', 'boleh', 'ukur', 'performance', 'mereka', 'httpstcoldbaQrlDw']",['NasrudinFaqrul']
"['saham', 'begini', 'mssuk', 'lq', 'jangan', 'jangan', 'untuk', 'dana', 'pemilu', 'ojkindonesia', 'yg', 'bener', 'saja', 'padahal', 'di', 'dalam', 'ojk', 'banyak', 'otg', 'pintat', 'lho', 'httpstcoQoNLQxuBe']",['Ddarwin']
"['GILA', 'AURA', 'NYA', 'BAU', 'SAHAM', 'BANGET', 'kristtps', 'Krist', 'in', 'FukuokaDay', 'GMMTVFANTIMEinFukuokaDay', 'GMMTVFANTIMExKRIST', 'KristPerawat', 'httpstcolckhOLOzVI']",['afhprchya']
"['Tahukah', 'kamu', 'Pemegang', 'saham', 'PT', 'pada', 'dasarnya', 'memiliki', 'tanggung', 'jawab', 'yang', 'terbatas', 'Namun', 'pada', 'kondisi', 'tertentu', 'tanggung', 'jawab', 'terbatas', 'pemegang', 'saham', 'bisa', 'hilang', 'Apa', 'saja', 'yang', 'menyebabkan', 'tanggung', 'jawab', 'terbatas', 'hilang', 'Simak', 'penjelasannya', 'pada', 'infografis', 'berikut', 'yuk', 'httpstcoAXSaFXSvU']",['klinikhukum']
"['Tomorrow', 'we', 'will', 'be', 'having', 'the', 'th', 'iteration', 'of', 'Smash', 'Saham', 's', 'at', 'PM', 'Kuwait', 'time', 'Featuring', 'some', 'of', 'Kuwait', 's', 'best', 'talent', 'Divine', 'Starmod', 'soudsamus', 'RKB', 'Saham', 'Zash', 'and', 'more', 'Pull', 'through', 'to', 'the', 'stream', 'tomorrow', 'at', 'httpstconuHsIq', 'Bracket', 'httpstcoJoJwdjl']",['soudsamus']
"['Sahamfess', 'Kurang', 'lebih', 'begini', 'ilustrasinya', 'httpstcoSMERFKqGZL']",['sfhawal']
"['profesorsaham', 'ntu', 'mah', 'modus', 'doang', 'biar', 'dielus', 'ama', 'yang', 'cardigan', 'item']",['thekingslayerr']
"['profesorsaham', 'penampakan', 'yg', 'biasa', 'bilang', 'allin', 'di', 'tiktok']",['bsvecx']
"['profesorsaham', 'Hmmm', 'dia', 'butuh', 'program', 'wajib', 'punk', 'biarkab', 'mas', 'mas', 'dan', 'mbak', 'nbak', 'pang', 'yg', 'mendewasakannya']",['morethanlifee']
"['Tak', 'hanya', 'Luhut', 'Bahlil', 'juga', 'memiliki', 'bisnis', 'tambang', 'nikel', 'melalui', 'PT', 'Meta', 'Mineral', 'Pradana', 'Perusahaan', 'ini', 'memiliki', 'dua', 'izin', 'tambang', 'nikel', 'di', 'Konawe', 'Utara', 'Sulawesi', 'Tenggara', 'Pemegang', 'saham', 'perusahaan', 'ini', 'antara', 'lain', 'PT', 'Rifa', 'Capital', 'sebesar', 'dan', 'PT', 'Bersama', 'Papua', 'Unggul', 'httpstcotZtKUaW']",['jatamnas']
['httpstcobllvlrBC'],['saham']
"['Jaringan', 'Pi', 'telah', 'berhasil', 'Jangan', 'lewatkan', 'Inilah', 'yang', 'ingin', 'saya', 'lihat', 'Aplikasi', 'yang', 'terhubung', 'ke', 'pasar', 'saham', 'tempat', 'kita', 'dapat', 'membeli', 'saham', 'perusahaan', 'menggunakan', 'koin', 'Pi', 'Apakah', 'ini', 'Benar', 'Kita', 'tunggu', 'saat', 'Open', 'Minet', 'yg', 'kirakira', 'Sebentar', 'lagi', 'PiNetwork', 'Pinetworkberita', 'httpstcoKFwIlOOGI']",['MyYunieyusuf']
"['Resort', 'mewah', 'di', 'PD', 'dia', 'punya', 'rupanya', 'yang', 'lain', 'anda', 'tengok', 'sendirilah', 'Bagaimana', 'dengan', 'bank', 'di', 'luar', 'negara', 'BERIKUT', 'ADALAH', 'HARTA', 'DAIM', 'BANK', 'AKAUN', 'Amanah', 'Saham', 'Nasional', 'Berhad', 'ASB', 'dan', 'Amanah', 'Saham', 'Nasional', 'ASN', 'KENDERAAN', 'Mercedes', 'Benz', 'SEL', 'Jaguar', 'XJS', 'HE', 'httpstcojJIKrIie']",['ladybugg']
"['vibes', 'semua', 'anak', 'tunggal', 'kaya', 'raya', 'keluarga', 'konglo', 'yang', 'lagi', 'kumpul', 'ngomongin', 'saham', 'httpstcoOQAAqW']",['sanctuarydw']
"['MY', 'STOCKS', 'PICK', 'NASDAQ', 'NASDAQ', 'STOCK', 'EXCHANGE', 'DISCLAIMER', 'THIS', 'ISNT', 'A', 'BUY', 'CALL', 'ITS', 'MY', 'LISTING', 'DO', 'YOUR', 'OWN', 'ANALYSIS', 'TRADE', 'AT', 'YOUR', 'OWN', 'RISK', 'httpstcoqSkWpZrJO', 'NASDAQStockExchange', 'NASDAQ', 'Stock', 'Exchange', 'USA', 'America', 'NewYork', 'equity', 'market', 'trading', 'trade', 'saham', 'httpstcobbclGjbHe']",['niagapasar']
"['Belajar', 'main', 'saham', 'ternyata', 'nggak', 'seburuk', 'itu', 'httpstcoCoqzMdY']",['convomfs']
"['Ozempic', 'ini', 'benar', 'lagi', 'happening', 'di', 'amrik', 'Mega', 'best', 'seller', 'Obat', 'pengurus', 'badan', 'yg', 'terbukti', 'valid', 'scra', 'saintifik', 'Pil', 'ajaib', 'bagi', 'yg', 'mau', 'turun', 'badan', 'dg', 'cepat', 'Yg', 'bkin', 'Novo', 'Nordisk', 'produsen', 'insulin', 'terbesar', 'dunia', 'dari', 'Denmark', 'Saham', 'Novo', 'Nordisk', 'meroket', 'gara', 'Ozempic', 'httpstcokhiCdsvQ']",['StrategiBisnis']
"['Prestasi', 'ringgit', 'vs', 'USD', 'dan', 'saham', 'Msia', 'as', 'at', 'Jan', 'Ringgit', 'ke', 'lemah', 'after', 'yen', 'won', 'baht', 'down', 'hampir', 'Tapi', 'saham', 'KLCI', 'naik', 'second', 'only', 'to', 'Japan', 'Can', 't', 'have', 'both', 'our', 'way', 'httpstcoaEZsluMa']",['azhanordin']
"['erickthohir', 'ridwankamil', 'Jadi', 'ingat', 'kata', 'Abang', 'nya', 'yg', 'kata', 'nya', 'konglomerat', 'mendukung', 'Paslon', 'Besok', 'nya', 'saham', 'nya', 'ambruk', 'Kalau', 'gw', 'sih', 'percaya', 'dengan', 'Ahok', 'httpstcodRJnTGntM']",['Aryprasetyo']
"['SAHAM', 'COFFEE', 'SHOP']",['laenadine']
"['profesorsaham', 'tolol']",['cubakboy']
"['SAHAM', 'COFFEE', 'SHOP']",['guinevas']
"['Dalam', 'saham', 'selain', 'daripada', 'capital', 'gain', 'banyak', 'syarikat', 'yang', 'bagi', 'pulangan', 'dalam', 'bentuk', 'dividen', 'Imagine', 'lepas', 'bersara', 'dapat', 'dividen', 'as', 'passive', 'income', 'Paling', 'penting', 'strategi', 'kena', 'betul', 'Aku', 'cadangkan', 'beli', 'buku', 'ni', 'until', 'belajar', 'httpstcorjiXQEwkr', 'bukunajib']",['najibfazail']
"['matchaltt', 'ehhh', 'family', 'dia', 'tu', 'kenapa', 'nak', 'komplot', 'Rasa', 'dia', 'salah', 'dtg', 'minta', 'maaf', 'hulur', 'lah', 'berapa', 'yg', 'mampu', 'utk', 'tolong', 'Kalau', 'takda', 'show', 'support', 'dia', 'perangai', 'kalah', 'apa', 'ni', 'jangan', 'support', 'makcik', 'pakcik', 'Saham', 'dosa', 'Korang', 'kan', 'suka', 'forward', 'benda', 'fb', 'wstakda', 'ke', 'yg', 'bgtau', 'pasal', 'dosa', 'subahat']",['ilusinetra']
