all_slang,tokens
ada,['ada']
pembelian,['pembelian']
baru,['baru']
atau,['atau']
keroyokan,['keroyokan']
kalian,['kalian']
ikut,['ikut']
yang,['yang']
mana,['mana']
tak,['tak']
dalam,['dalam']
saham,['saham']
dan,['dan']
ni,['ni']
seperti,['seperti']
kita,['kita']
mintak,['mintak']
dan,['dan']
sendiri,['sendiri']
duit,['duit']
kita,['kita']
kita,['kita']
dan,['dan']
bagaimana,['bagaimana']
kita,['kita']
boleh,['boleh']
ukur,['ukur']
mereka,['mereka']
saham,['saham']
begini,['begini']
jangan,['jangan']
jangan,['jangan']
untuk,['untuk']
dana,['dana']
saja,['saja']
padahal,['padahal']
di,['di']
dalam,['dalam']
banyak,['banyak']
,[]
kamu,['kamu']
saham,['saham']
pada,['pada']
memiliki,['memiliki']
tanggung,['tanggung']
jawab,['jawab']
yang,['yang']
terbatas,['terbatas']
pada,['pada']
kondisi,['kondisi']
tertentu,['tertentu']
tanggung,['tanggung']
jawab,['jawab']
terbatas,['terbatas']
pemegang,['pemegang']
saham,['saham']
bisa,['bisa']
hilang,['hilang']
saja,['saja']
yang,['yang']
menyebabkan,['menyebabkan']
tanggung,['tanggung']
jawab,['jawab']
terbatas,['terbatas']
hilang,['hilang']
pada,['pada']
berikut,['berikut']
yuk,['yuk']
we,['we']
be,['be']
to,['to']
lebih,['lebih']
begini,['begini']
mah,['mah']
modus,['modus']
doang,['doang']
biar,['biar']
ama,['ama']
yang,['yang']
item,['item']
penampakan,['penampakan']
biasa,['biasa']
bilang,['bilang']
di,['di']
dia,['dia']
butuh,['butuh']
program,['program']
wajib,['wajib']
punk,['punk']
mas,['mas']
mas,['mas']
dan,['dan']
mbak,['mbak']
hanya,['hanya']
juga,['juga']
memiliki,['memiliki']
bisnis,['bisnis']
tambang,['tambang']
nikel,['nikel']
melalui,['melalui']
ini,['ini']
memiliki,['memiliki']
dua,['dua']
izin,['izin']
tambang,['tambang']
nikel,['nikel']
di,['di']
saham,['saham']
perusahaan,['perusahaan']
ini,['ini']
antara,['antara']
lain,['lain']
dan,['dan']
,[]
telah,['telah']
berhasil,['berhasil']
yang,['yang']
ingin,['ingin']
saya,['saya']
lihat,['lihat']
yang,['yang']
ke,['ke']
pasar,['pasar']
saham,['saham']
tempat,['tempat']
kita,['kita']
dapat,['dapat']
saham,['saham']
perusahaan,['perusahaan']
menggunakan,['menggunakan']
koin,['koin']
ini,['ini']
tunggu,['tunggu']
saat,['saat']
lagi,['lagi']
mewah,['mewah']
di,['di']
dia,['dia']
punya,['punya']
rupanya,['rupanya']
yang,['yang']
lain,['lain']
tengok,['tengok']
dengan,['dengan']
bank,['bank']
di,['di']
luar,['luar']
negara,['negara']
dan,['dan']
semua,['semua']
anak,['anak']
tunggal,['tunggal']
kaya,['kaya']
raya,['raya']
keluarga,['keluarga']
yang,['yang']
lagi,['lagi']
kumpul,['kumpul']
saham,['saham']
saham,['saham']
main,['main']
saham,['saham']
ternyata,['ternyata']
itu,['itu']
ini,['ini']
benar,['benar']
lagi,['lagi']
di,['di']
pengurus,['pengurus']
badan,['badan']
terbukti,['terbukti']
valid,['valid']
ajaib,['ajaib']
bagi,['bagi']
